name,geom,key,value
Estádio Municipal,"POLYGON ((-41.853386 -11.2975845, -41.8522797 -11.2981083, -41.8520802 -11.2977032, -41.8516556 -11.2968407, -41.8515318 -11.2965893, -41.8526381 -11.2960655, -41.853386 -11.2975845))",leisure,stadium
Estadio Geraldão,"POLYGON ((-57.6905827 -16.0895615, -57.6893294 -16.0894652, -57.6895302 -16.0877795, -57.6908172 -16.0879185, -57.6905827 -16.0895615))",leisure,stadium
Estádio Municipal Gerino de Souza Filho,"POLYGON ((-38.316881 -12.8965333, -38.3168017 -12.8964391, -38.3170938 -12.8957919, -38.3180097 -12.8958508, -38.3180734 -12.895945, -38.31792 -12.8967422, -38.3169068 -12.8966576, -38.316881 -12.8965333))",leisure,stadium
Estádio Armando Oliveira,"POLYGON ((-38.3142522 -12.7167982, -38.3142971 -12.716544, -38.314378 -12.7162986, -38.3145128 -12.7160882, -38.3146745 -12.7159129, -38.3148632 -12.7157726, -38.3150609 -12.7156938, -38.3152855 -12.7156675, -38.3155012 -12.7156938, -38.3156989 -12.7157726, -38.3158876 -12.7159129, -38.3160493 -12.7160882, -38.3161841 -12.7162986, -38.3162649 -12.716544, -38.3163099 -12.7167982, -38.3163099 -12.7170611, -38.3162649 -12.7173153, -38.3161841 -12.7175607, -38.3160493 -12.7177711, -38.3158876 -12.7179464, -38.3156989 -12.7180866, -38.3155012 -12.7181655, -38.3152765 -12.7181918, -38.3150609 -12.7181655, -38.3148632 -12.7180866, -38.3146745 -12.7179464, -38.3145128 -12.7177711, -38.314378 -12.7175607, -38.3142971 -12.7173153, -38.3142522 -12.7170611, -38.3142522 -12.7167982))",leisure,stadium
Estádio Municipal Urbano Adjuto,"POLYGON ((-46.8891673 -16.3749864, -46.888245 -16.3757563, -46.8875124 -16.3749101, -46.8884312 -16.37414, -46.8891673 -16.3749864))",leisure,stadium
Estádio Antônio Carlos Magalhães,"POLYGON ((-40.2540009 -15.2523526, -40.253967 -15.2523438, -40.2538041 -15.2522891, -40.2535279 -15.2521124, -40.2534039 -15.2520104, -40.2533879 -15.2519776, -40.2531933 -15.2516239, -40.2531303 -15.2514164, -40.2531067 -15.2512177, -40.2531005 -15.251159, -40.2531043 -15.2510239, -40.2531694 -15.2509237, -40.2532184 -15.2508755, -40.2533562 -15.2507773, -40.2534781 -15.2506841, -40.2535262 -15.2506453, -40.2536224 -15.2505867, -40.2537181 -15.2505255, -40.2540103 -15.2505583, -40.2544511 -15.250761, -40.2549605 -15.2512, -40.2548902 -15.2512485, -40.2548149 -15.2513072, -40.2548758 -15.2514922, -40.254892 -15.2516221, -40.2548734 -15.2518779, -40.2548483 -15.2519763, -40.2547295 -15.2521319, -40.2545563 -15.2522798, -40.2543997 -15.2523725, -40.2542649 -15.2523928, -40.2541455 -15.2523786, -40.2540009 -15.2523526))",leisure,stadium
Estádio Espanha,"POLYGON ((-46.3647722 -23.9453854, -46.3647696 -23.9453386, -46.3647553 -23.945281, -46.3647306 -23.9452266, -46.364696 -23.9451767, -46.3646526 -23.9451331, -46.3646017 -23.9450968, -46.3645448 -23.945069, -46.363826 -23.9449562, -46.3637677 -23.9449681, -46.3637121 -23.9449881, -46.3636605 -23.9450157, -46.3636143 -23.9450503, -46.3635744 -23.945091, -46.3635419 -23.9451368, -46.3635176 -23.9451866, -46.3633499 -23.9461231, -46.3633574 -23.9461762, -46.3633738 -23.9462277, -46.3633987 -23.9462763, -46.3634315 -23.9463208, -46.3634714 -23.9463601, -46.3635174 -23.9463933, -46.3635685 -23.9464197, -46.3642726 -23.9465361, -46.3643216 -23.9465372, -46.3643701 -23.9465309, -46.3644168 -23.9465176, -46.3644605 -23.9464974, -46.3645001 -23.946471, -46.3645344 -23.946439, -46.3645625 -23.9464024, -46.3645837 -23.9463621, -46.3647722 -23.9453854))",leisure,stadium
Arena Joinville,"POLYGON ((-48.8339684 -26.3160721, -48.8331235 -26.316048, -48.8328526 -26.3162716, -48.8327614 -26.3173896, -48.833035 -26.31763, -48.8338289 -26.3176637, -48.8341615 -26.3174281, -48.8342246 -26.3163209, -48.8339684 -26.3160721))",leisure,stadium
Estadio Goldofredo Cruz,"POLYGON ((-41.34079 -21.7589636, -41.3402355 -21.7591263, -41.3401194 -21.7592244, -41.3400537 -21.7593971, -41.3400393 -21.7596047, -41.3406999 -21.7615064, -41.3409992 -21.7612612, -41.3411884 -21.7609015, -41.341316 -21.7605418, -41.3413659 -21.7602613, -41.341338 -21.7599901, -41.3411356 -21.7594016, -41.3410592 -21.7591421, -41.3409847 -21.759051, -41.3409023 -21.7589927, -41.34079 -21.7589636))",leisure,stadium
Estádio Heriberto Hülse,"POLYGON ((-49.3676421 -28.6835521, -49.3686078 -28.6843073, -49.3686266 -28.6845874, -49.368507 -28.6846925, -49.3684234 -28.684765, -49.3680713 -28.6850661, -49.3676295 -28.6850682, -49.3673393 -28.6848385, -49.3667464 -28.6843709, -49.3667249 -28.6840768, -49.3672694 -28.6835709, -49.3676421 -28.6835521))",leisure,stadium
Estádio João Marcatto,"POLYGON ((-49.0970083 -26.4989833, -49.0962155 -26.4983928, -49.0959052 -26.4981617, -49.0960114 -26.4978419, -49.0961999 -26.4972739, -49.0963091 -26.4969451, -49.0966206 -26.4970413, -49.0966747 -26.497058, -49.0967803 -26.4968316, -49.0976867 -26.4971703, -49.097556 -26.4975496, -49.0972906 -26.49832, -49.0971923 -26.4986053, -49.0970083 -26.4989833))",leisure,stadium
Estádio Municipal Virotão,"POLYGON ((-54.1897237 -23.0560551, -54.1891379 -23.0566852, -54.1894122 -23.0577827, -54.1903778 -23.0579877, -54.1910986 -23.0568416, -54.1911191 -23.0567913, -54.1911004 -23.0567569, -54.1909199 -23.0566657, -54.1897237 -23.0560551))",leisure,stadium
Estadio Pacolao,"POLYGON ((-54.2059448 -23.0467646, -54.2049014 -23.0468707, -54.2049971 -23.0484376, -54.2060297 -23.0485592, -54.2059448 -23.0467646))",leisure,stadium
Estádio dos Prazeres,"POLYGON ((-41.6636756 -14.1990079, -41.6626581 -14.1993952, -41.6622665 -14.1984283, -41.663284 -14.198041, -41.6636756 -14.1990079))",leisure,stadium
Estadio Municipal do Pinhão,"POLYGON ((-49.1732215 -25.5501031, -49.1716977 -25.5501087, -49.1717101 -25.5515424, -49.1732246 -25.5515424, -49.1732215 -25.5501031))",leisure,stadium
