latitude,longitude,16-06,22-06,29-06,06-07,13-07,20-07
-22.77452426,-47.156752,11,3,5,6,4,5
-5.340931314285713,-49.08700332857143,3,6,4,8,6,5
-5.35755226,-49.078400800000004,3,2,0,3,7,3
0.03882346666666667,-51.0755993,8,1,4,1,3,5
-25.41562266,-49.279006779999996,13,15,13,15,13,15
-23.58437884117647,-46.73877431764705,15,6,15,15,13,15
-25.086040099999998,-50.17643658,15,15,15,15,15,15
-21.701931476470588,-45.25624885294117,15,10,9,10,15,13
-28.686940150000005,-49.350092984999996,5,3,0,2,1,1
-5.5307178,-47.4807126,15,15,15,12,12,15
-5.52365342,-47.49212870000001,6,1,1,1,1,4
-5.52817788,-47.478952920000005,15,15,12,12,11,15
-5.52742842,-47.480067580000004,15,15,12,12,11,15
-5.526149640000001,-47.49441036,15,15,11,9,9,15
-5.52487112,-47.47714816,15,15,14,12,11,15
-28.459896175,-52.823093674999996,15,6,14,15,15,15
-15.601875080000003,-56.09277808,11,15,14,15,14,15
-15.592110511111109,-56.09202075555555,13,15,14,15,14,15
-15.602364039215686,-56.094716084313724,11,15,14,15,14,15
-15.59135708,-56.087964493333324,13,12,14,15,14,15
-15.591344920000001,-56.09043018000001,13,11,14,15,14,15
-15.60377794,-56.096754499999996,13,15,14,15,15,15
-15.590547280000001,-56.08735978,13,12,14,15,14,15
-15.622569641666665,-56.07572149999999,15,15,13,15,15,15
-23.018382588888887,-48.011715188888886,0,5,6,3,1,0
-29.55749214,-51.59144598,0,0,2,2,0,0
-22.687182884615385,-45.73038696153846,15,15,15,15,15,2
-27.10812548,-52.59852852,15,15,15,15,14,10
-22.885700842857144,-43.250912099999994,6,3,6,5,7,5
-22.885673233333332,-43.251115258333336,6,3,6,5,7,5
-19.925596013043474,-43.897067234782604,15,12,11,12,9,12
-23.65710036666667,-46.653474966666664,14,14,9,13,10,15
-23.88087348888889,-46.794406511111106,0,0,1,1,2,7
-19.92094291111111,-43.92192594444444,15,15,10,15,15,15
-22.75427752,-51.38334345999999,0,0,0,0,0,0
-23.039863077777778,-51.442087022222225,0,0,1,1,0,1
-20.72995582,-47.74994619,0,2,1,0,3,1
-25.098936690476187,-50.1018177904762,1,1,1,0,0,0
-20.362336640000002,-40.66222484000001,5,7,6,9,9,11
-19.88789456363636,-43.80758647272727,1,1,2,1,3,3
-20.627823080000002,-49.652263919999996,1,0,2,3,2,1
-22.356126022222224,-41.76976223333334,2,4,3,5,4,5
-23.30980084761905,-51.15190437619047,15,15,13,15,7,10
-11.079437257142857,-54.5203105,1,1,0,0,0,0
-11.551828022222223,-41.15398757777777,10,5,0,0,0,0
-11.556318614285713,-41.15906782857143,10,5,0,0,0,0
-21.191071991666664,-43.97443990833333,2,0,1,0,0,1
-21.184594087499995,-43.973117775,2,0,1,0,0,1
-3.7133373299999994,-38.5732076,9,5,10,11,5,4
-11.07784422,-54.512305600000005,1,1,0,0,0,0
-12.70349674,-39.696792980000005,0,0,0,1,1,1
-13.7294956,-49.273957688888885,0,0,0,0,0,0
-11.07801382,-54.52262671999999,1,1,0,0,0,0
-11.0979599,-54.506678879999996,0,0,0,0,0,0
-22.634671939999997,-54.82278805999999,1,2,0,0,1,1
-20.360279885714284,-40.29609787142857,13,12,11,12,15,15
-19.75396806666667,-46.382595716666664,0,0,1,0,0,0
-28.8567694,-51.285539060000005,1,0,1,0,0,0
-20.525331844444445,-54.59832146666667,0,0,4,2,0,0
-28.723910518181814,-52.84882684545455,0,0,0,0,0,0
-8.157652928571428,-34.911732571428566,13,13,13,5,5,9
-30.252314322222226,-54.91651616666667,4,3,5,5,5,11
-20.525387345833334,-54.598460875,0,0,4,2,0,0
-22.4600316,-42.30572714,1,2,2,3,7,2
-0.00652044,-51.0813915,4,4,3,1,2,1
-19.398473435294115,-40.06140454705882,10,14,15,15,15,12
-23.288555820000003,-52.60235788,0,0,0,0,0,1
-9.475904700000001,-40.81473264,0,0,0,0,0,0
-23.28213518,-52.6133059,0,0,0,0,0,0
